condition,method,seed,status,metric,value,result_path
aniso_k1,A,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_77395/result.json
aniso_k1,C,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_65457/result.json
aniso_k1,tflow,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,tflow,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,tflow,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k10,A,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/A/seed_8925/result.json
aniso_k10,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/A/seed_77395/result.json
aniso_k10,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/A/seed_65457/result.json
aniso_k10,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/B/seed_8925/result.json
aniso_k10,B,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/B/seed_77395/result.json
aniso_k10,B,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/B/seed_65457/result.json
aniso_k10,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/C/seed_8925/result.json
aniso_k10,C,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/C/seed_77395/result.json
